method,dataset,llm,auc,mean,gt_mean,err_rate,pearsonr
bert_score,techqa3,none,0.6793,0.6081,0.7092,0.1011,0.2892
bleu,techqa3,none,0.6252,0.1939,0.7092,0.5154,0.194
g_eval,techqa3,gpt-4o-mini-2024-07-18,0.8169,0.7612,0.7092,0.0519,0.5419
langchain_evaluation,techqa3,gpt-4o-mini-2024-07-18,0.631,0.8688,0.7092,0.1596,0.3525
llama_index_evaluation,techqa3,gpt-4o-mini-2024-07-18,0.6849,0.8697,0.7092,0.1605,0.4117
no_fact_check,techqa3,gpt-4o-mini-2024-07-18,0.8463,0.5665,0.7092,0.1427,0.5752
no_step_check,techqa3,gpt-4o-mini-2024-07-18,0.8517,0.5553,0.7092,0.1539,0.5884
quest_eval,techqa3,gpt-4o-mini-2024-07-18,0.7205,0.6447,0.7092,0.0645,0.3768
ragas,techqa3,gpt-4o-mini-2024-07-18,0.6894,0.3863,0.7092,0.3229,0.273
ref_checker,techqa3,gpt-4o-mini-2024-07-18,0.8313,0.6302,0.7092,0.079,0.5493
rouge1,techqa3,none,0.542,0.3683,0.7092,0.341,0.0648
rougeL,techqa3,none,0.5932,0.3151,0.7092,0.3941,0.1615
tseval,techqa3,gpt-4o-mini-2024-07-18,0.8876,0.6596,0.7092,0.0496,0.743
